releaseYear,count
1902.0,1
1908.0,1
1910.0,1
1911.0,1
1913.0,1
1914.0,1
1915.0,5
1916.0,4
1917.0,2
1918.0,4
1919.0,3
1920.0,6
1921.0,5
1922.0,5
1923.0,6
1924.0,3
1925.0,15
1926.0,11
1927.0,14
1928.0,13
1929.0,16
1930.0,25
1931.0,33
1932.0,57
1933.0,50
1934.0,69
1935.0,83
1936.0,102
1937.0,101
1938.0,85
1939.0,90
1940.0,75
1941.0,96
1942.0,89
1943.0,77
1944.0,62
1945.0,87
1946.0,75
1947.0,84
1948.0,95
1949.0,91
1950.0,118
1951.0,111
1952.0,131
1953.0,142
1954.0,112
1955.0,91
1956.0,113
1957.0,124
1958.0,127
1959.0,148
1960.0,147
1961.0,147
1962.0,158
1963.0,117
1964.0,174
1965.0,157
1966.0,170
1967.0,187
1968.0,197
1969.0,185
1970.0,202
1971.0,234
1972.0,248
1973.0,214
1974.0,234
1975.0,191
1976.0,220
1977.0,213
1978.0,231
1979.0,248
1980.0,265
1981.0,231
1982.0,241
1983.0,281
1984.0,258
1985.0,274
1986.0,293
1987.0,348
1988.0,335
1989.0,399
1990.0,326
1991.0,357
1992.0,316
1993.0,374
1994.0,389
1995.0,416
1996.0,478
1997.0,486
1998.0,492
1999.0,564
2000.0,597
2001.0,614
2002.0,657
2003.0,676
2004.0,777
2005.0,911
2006.0,971
2007.0,1062
2008.0,1128
2009.0,1265
2010.0,1353
2011.0,1537
2012.0,1850
2013.0,2268
2014.0,2420
2015.0,2711
2016.0,2958
2017.0,3335
2018.0,3582
2019.0,3773
2020.0,2956
2021.0,3173
2022.0,3126
2023.0,2735
2024.0,1168
2025.0,8
