year,movies,tv
1913.0,1,0
1917.0,1,0
1918.0,1,0
1919.0,2,0
1920.0,2,0
1921.0,1,0
1923.0,2,0
1926.0,1,0
1928.0,3,0
1929.0,5,0
1930.0,1,0
1931.0,2,0
1932.0,4,0
1933.0,2,0
1934.0,5,0
1935.0,5,0
1936.0,5,0
1937.0,8,0
1938.0,5,0
1939.0,6,0
1940.0,4,0
1941.0,2,0
1942.0,7,0
1943.0,11,0
1944.0,2,0
1945.0,8,0
1946.0,9,0
1947.0,12,0
1948.0,11,0
1949.0,12,0
1950.0,20,0
1951.0,20,0
1952.0,25,0
1953.0,27,0
1954.0,29,0
1955.0,17,0
1956.0,30,0
1957.0,26,0
1958.0,32,0
1959.0,27,0
1960.0,21,0
1961.0,31,0
1962.0,21,0
1963.0,32,0
1964.0,23,0
1965.0,22,0
1966.0,27,2
1967.0,20,0
1968.0,26,1
1969.0,20,1
1970.0,31,0
1971.0,33,1
1972.0,28,0
1973.0,36,1
1974.0,26,0
1975.0,28,1
1976.0,36,2
1977.0,31,0
1978.0,23,1
1979.0,25,3
1980.0,33,2
1981.0,40,2
1982.0,36,0
1983.0,43,3
1984.0,46,1
1985.0,35,2
1986.0,48,2
1987.0,49,5
1988.0,48,2
1989.0,46,3
1990.0,39,3
1991.0,62,3
1992.0,49,8
1993.0,60,4
1994.0,54,4
1995.0,65,5
1996.0,62,5
1997.0,74,7
1998.0,80,11
1999.0,82,10
2000.0,107,11
2001.0,130,15
2002.0,153,13
2003.0,186,19
2004.0,217,22
2005.0,210,28
2006.0,238,32
2007.0,242,36
2008.0,253,33
2009.0,280,30
2010.0,298,40
2011.0,330,58
2012.0,355,60
2013.0,453,64
2014.0,503,83
2015.0,594,126
2016.0,716,176
2017.0,852,223
2018.0,1030,345
2019.0,1030,379
2020.0,883,410
2021.0,956,454
2022.0,1185,547
2023.0,1054,472
2024.0,472,363
2025.0,2,0
